"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"61",2,2.7,"unmitigated",61,24783.125,87941.5,158262.625,70,234,439.525,24783.125,87941.5,158262.625,81.075,318,582.675,849.125,3196.5,6071.3,43.3,159.5,301.05
"62",2,2.7,"unmitigated",62,29319.775,103282,183503.05,85.225,281.5,524.25,29319.775,103282,183503.05,108.15,367.5,671.725,1025.95,3810,7224.725,52.2,191,359.675
"63",2,2.7,"unmitigated",63,34859.95,120938.5,211597.3,95.4,345.5,594.975,34859.95,120938.5,211597.3,127.55,427,766.45,1236.975,4518,8555.05,63.575,222.5,428.075
"64",2,2.7,"unmitigated",64,41507,140940.5,244045.2,129.05,384.5,701.725,41507,140940.5,244045.2,153.5,521,917.775,1463.05,5351.5,10140.525,70.1,269.5,507.4
"65",2,2.7,"unmitigated",65,48873.85,164593.5,278247.925,126.975,468,794.575,48873.85,164593.5,278247.925,180.4,610,1042.65,1748.45,6352.5,11944.45,80.15,317.5,619.925
"66",2,2.7,"unmitigated",66,57776.675,191057.5,316861.3,173.725,533.5,943.1,57776.675,191057.5,316861.3,217.275,677.5,1247.15,2055.175,7578.5,14111.35,106.25,374,729.875
"67",2,2.7,"unmitigated",67,68228.5,220169.5,356548.15,195.475,629,1063.075,68228.5,220169.5,356548.15,262.625,797.5,1415.275,2469.55,9008,16631.75,127.4,450.5,867.25
"68",2,2.7,"unmitigated",68,80573.975,252214.5,398959.875,223.775,721.5,1205.575,80573.975,252214.5,398959.875,282.65,948.5,1596.625,2957.3,10651,19512.625,150.675,532,1010.275
"69",2,2.7,"unmitigated",69,94593.375,288052.5,440856.925,259.025,847.5,1362.15,94593.375,288052.5,440856.925,329.275,1099,1810.1,3531.75,12584,22837.125,182.675,633,1208.2
"70",2,2.7,"unmitigated",70,111384.275,326459.5,483892.525,311.9,940.5,1525.85,111384.275,326459.5,483892.525,399.85,1240.5,2003.5,4156.1,14819,26694.325,213.3,757,1437.575
"71",2,2.7,"unmitigated",71,129874.3,366960,524321.4,349.95,1082.5,1690.775,129874.3,366960,524321.4,475.325,1441,2265.4,4908.85,17536.5,31153.275,253.975,906,1710.825
"72",2,2.7,"unmitigated",72,151413.325,409618.5,562724,408.875,1222.5,1839.625,151413.325,409618.5,562724,553.45,1632,2450.625,5848.925,20499.5,36190.55,300.475,1058.5,2061.05
"73",2,2.7,"unmitigated",73,176070.625,451750,597720.7,510.5,1391,2034.45,176070.625,451750,597720.7,667.075,1806.5,2694,6920.7,23984,41704.275,354.6,1253.5,2418.2
"74",2,2.7,"unmitigated",74,203467.075,494010,625912.5,578.6,1593,2143.525,203467.075,494010,625912.5,758.675,2036,2847.675,8171.35,27994.5,47739.45,404,1495.5,2857.825
"75",2,2.7,"unmitigated",75,234214.275,534217.5,648883.85,665.6,1734.5,2291.425,234214.275,534217.5,648883.85,916.175,2244,3040.925,9679.2,32423.5,54418.55,481.675,1790,3337.675
"76",2,2.7,"unmitigated",76,268305.975,571437,662374.45,798.075,1852.5,2414.175,268305.975,571437,662374.45,1029.425,2485,3216.625,11468.6,37476.5,61772.55,585.075,2094.5,3907.925
"77",2,2.7,"unmitigated",77,304333.95,604945,668438.5,940.975,2056,2522.575,304333.95,604945,668438.5,1157.05,2714.5,3361.3,13498,43161.5,69503.55,698.275,2486,4560.25
"78",2,2.7,"unmitigated",78,343973.9,631444.5,669838.775,1057.5,2205,2564.05,343973.9,631444.5,669838.775,1370.225,2909,3483.525,15998.975,49434,77504.1,835.775,2942,5265.95
"79",2,2.7,"unmitigated",79,384189.75,650984.5,669460.95,1157.4,2317.5,2636.175,384189.75,650984.5,669460.95,1504.075,3079,3458.65,18752.8,56235,85902.25,993.7,3426,6152.55
"80",2,2.7,"unmitigated",80,427159.975,657584.5,669996.55,1314.775,2426.5,2670.1,427159.975,657584.5,669996.55,1731.05,3228.5,3516,21980.25,63791,94352.15,1188.425,4019.5,7138.725
"81",2,2.7,"unmitigated",81,468055.95,655609,669875.175,1441.875,2508.5,2664.575,468055.95,655609,669875.175,1949.475,3323,3522.825,25726.925,71569.5,102762.55,1401.525,4676.5,8270.25
"82",2,2.7,"unmitigated",82,509319.9,651074,670000.425,1647.075,2537.5,2677.05,509319.9,651074,670000.425,2159.1,3385,3562.25,29986.35,79684.5,110693.5,1648.15,5470.5,9507.175
"83",2,2.7,"unmitigated",83,526117.225,649518.5,669720.45,1773.225,2550,2654.725,526117.225,649518.5,669720.45,2376.375,3391,3545.575,34721.9,88171.5,118309.425,1939.325,6357,10817.9
"84",2,2.7,"unmitigated",84,515863.525,630437,669415.25,1953.475,2534.5,2685.1,515863.525,630437,669415.25,2548.8,3365.5,3523.575,40082,96725.5,125075.875,2277.025,7409.5,12343.925
"85",2,2.7,"unmitigated",85,478435.65,606773.5,668680.975,2060.125,2531,2655.575,478435.65,606773.5,668680.975,2721.55,3343,3540.3,45948.25,105071.5,130897.275,2665.675,8547,13825.875
"86",2,2.7,"unmitigated",86,440642.95,581479,663110.8,2043.475,2476.5,2673.425,440642.95,581479,663110.8,2730.475,3266,3514.15,52413.425,112870,135615.525,3152.35,9751,15446.3
"87",2,2.7,"unmitigated",87,401867.175,548394,653570.1,1945.85,2395,2662.5,401867.175,548394,653570.1,2526.075,3141,3515.25,59397.6,119984.5,139103.975,3684.3,11077,17067.1
"88",2,2.7,"unmitigated",88,369891.05,511717.5,657802.575,1745.55,2307,2611.1,369891.05,511717.5,657802.575,2320,3034.5,3469.975,66926.35,126408.5,141186.325,4323.675,12538,18710.275
"89",2,2.7,"unmitigated",89,334040.2,473557.5,658369.8,1602.025,2182,2600.125,334040.2,473557.5,658369.8,2091.225,2880.5,3418.725,74780,131869.5,141760.3,5075.175,14041.5,20326.925
"90",2,2.7,"unmitigated",90,300197.375,436195,642422.175,1526.775,2055,2558.525,300197.375,436195,642422.175,1971.3,2733,3337.3,83061.825,136263,142195.2,5902.95,15708,21856.275
"91",2,2.7,"unmitigated",91,268102.2,398515.5,619895.95,1351.05,1894,2560.7,268102.2,398515.5,619895.95,1836.6,2533.5,3417.725,91381.45,138854.5,142162.8,6852.85,17319.5,23314.275
