"Income","HS","IFR","Mort"
"HIC","Infinite capacity",0.00598690614291238,3143
"HIC","Infinite capacity",0.0114007607965988,6114
"HIC","Infinite capacity",0.0132623576408335,7128
"HIC","Infinite capacity",0.012513404550261,6698
"HIC","Infinite capacity",0.0106085017192896,5689
"HIC","Infinite capacity",0.00695001084465736,3685
"HIC","Infinite capacity",0.0103918017943864,5555
"HIC","Infinite capacity",0.00852752654751681,4538
"HIC","Infinite capacity",0.00811041089079789,4274
"HIC","Infinite capacity",0.0125936473369257,6766
"HIC","Infinite capacity",0.00624015103501493,3259
"HIC","Infinite capacity",0.0125506743243268,6746
"HIC","Infinite capacity",0.00731830656204367,3864
"HIC","Infinite capacity",0.0122584480109462,6558
"HIC","Infinite capacity",0.00915081693679168,4881
"HIC","Infinite capacity",0.00636372563089636,3370
"HIC","Infinite capacity",0.00464296478290229,2434
"HIC","Infinite capacity",0.0105408619683755,5637
"HIC","Infinite capacity",0.00529516228621021,2770
"HIC","Infinite capacity",0.00556763593303483,2901
"HIC","Infinite capacity",0.0121469857928139,6521
"HIC","Infinite capacity",0.0139308517763324,7488
"HIC","Infinite capacity",0.00449308183786715,2353
"HIC","Infinite capacity",0.0101986921765543,5426
"HIC","Infinite capacity",0.0140621435076896,7581
"HIC","Infinite capacity",0.00524283349240913,2752
"HIC","Infinite capacity",0.00972630285532289,5161
"HIC","Infinite capacity",0.00521218429699848,2714
"HIC","Infinite capacity",0.00673691614496376,3563
"HIC","Infinite capacity",0.00277626731816406,1450
"HIC","Infinite capacity",0.0132084792791053,7112
"HIC","Infinite capacity",0.00627037443256253,3293
"HIC","Infinite capacity",0.00615822606551013,3236
"HIC","Infinite capacity",0.00585898860160399,3080
"HIC","Infinite capacity",0.0110188972872676,5891
"HIC","Infinite capacity",0.00902013412727054,4799
"HIC","Infinite capacity",0.0110219057110118,5906
"HIC","Infinite capacity",0.00769408485270836,4063
"HIC","Infinite capacity",0.00615671394391518,3250
"HIC","Infinite capacity",0.00846018879579208,4465
"HIC","Infinite capacity",0.00565714111857368,2975
"HIC","Infinite capacity",0.00715798478691652,3782
"HIC","Infinite capacity",0.0129096029948045,6935
"HIC","Infinite capacity",0.00814151586280003,4301
"HIC","Infinite capacity",0.0116296022160168,6222
"HIC","Infinite capacity",0.0103378526029536,5535
"HIC","Infinite capacity",0.00794221238721021,4210
"HIC","Infinite capacity",0.00501422367485285,2651
"HIC","Infinite capacity",0.00970530584151305,5189
"HIC","Infinite capacity",0.010883843825836,5808
"HIC","Infinite capacity",0.0106877661449619,5730
"HIC","Infinite capacity",0.0100125715882106,5376
"HIC","Infinite capacity",0.0135336561635607,7300
"HIC","Infinite capacity",0.0117908737474424,6287
"HIC","Infinite capacity",0.00870996075711254,4621
"HIC","Infinite capacity",0.00422753273993497,2209
