Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_200,infected_0_5,infected_5_10,infected_10_15,infected_15_20,infected_20_25,infected_25_30,infected_30_35,infected_35_40,infected_40_45,infected_45_50,infected_50_55,infected_55_60,infected_60_65,infected_65_70,infected_70_75,infected_75_80,infected_80_200,deaths_0_5,deaths_5_10,deaths_10_15,deaths_15_20,deaths_20_25,deaths_25_30,deaths_30_35,deaths_35_40,deaths_40_45,deaths_45_50,deaths_50_55,deaths_55_60,deaths_60_65,deaths_65_70,deaths_70_75,deaths_75_80,deaths_80_200,hospitalisations_0_5,hospitalisations_5_10,hospitalisations_10_15,hospitalisations_15_20,hospitalisations_20_25,hospitalisations_25_30,hospitalisations_30_35,hospitalisations_35_40,hospitalisations_40_45,hospitalisations_45_50,hospitalisations_50_55,hospitalisations_55_60,hospitalisations_60_65,hospitalisations_65_70,hospitalisations_70_75,hospitalisations_75_80,hospitalisations_80_200,critical_0_5,critical_5_10,critical_10_15,critical_15_20,critical_20_25,critical_25_30,critical_30_35,critical_35_40,critical_40_45,critical_45_50,critical_50_55,critical_55_60,critical_60_65,critical_65_70,critical_70_75,critical_75_80,critical_80_200,,,,,,,,,,,,,,,,,,,,
Eritrea,2.4,Unmitigated,0,3546.427,3030.114331,9.586027839,58.04928895,12.71490951,495.07,476.7,486.693,373.932,285.247,286.989,269.281,191.483,141.245,139.597,88.101,83.849,68.421,59.906,47.223,29.859,22.831,354.1738621,411.5334,443.1806803,337.9184367,246.0776213,236.3405668,230.2866372,173.1938877,127.0564073,116.2988374,77.05671633,74.41725302,62.03415719,54.25565565,42.40627988,24.86867181,19.01525992,0.009985117,0.009886884,0.01966211,0.030654609,0.0498413,0.092130043,0.1416325,0.162325798,0.165733521,0.252666318,0.347704562,0.607472725,1.063900498,1.469685013,1.802879454,1.528215097,1.83165229,0.263573355,0.26098049,0.519012883,0.809177123,1.3156385,2.431917253,3.738612361,4.043933354,3.677599809,4.4899541,4.448860193,5.389456345,6.302822851,6.346816506,6.195517798,4.39266924,3.422746786,0.013237402,0.013107238,0.026066407,0.040639255,0.066075243,0.122137968,0.187810511,0.215016723,0.219715355,0.334963551,0.460957075,0.805335634,1.410429479,1.9483815,2.390105795,2.02797791,2.432952467,,,,,,,,,,,,,,,,,,,,
Estonia,2.4,Unmitigated,0,1326.539,984.648726,8.88478024,41.66341462,11.77603743,69.176,74.485,75.193,62.295,58.008,87.546,101.57,92.061,88.573,96.365,76.415,88.868,85.725,83.747,53.147,54.282,79.083,54.88182712,70.24700586,69.23286554,55.98865619,48.31068888,63.18484918,88.38314195,82.0961731,77.6176404,77.89082354,59.58914889,60.11042415,55.61164251,38.06088774,29.28999455,22.04124604,32.11171033,0.001547267,0.001687649,0.003071578,0.005079067,0.009784992,0.024630655,0.054358019,0.076944556,0.101245149,0.169222565,0.268885308,0.490685179,0.953752849,1.030998808,1.245247862,1.354465779,3.093172957,0.040842617,0.044548263,0.081079232,0.134070044,0.258290055,0.650164832,1.43486531,1.91687742,2.246613339,3.007134296,3.440372301,4.353325252,5.650279573,4.452355568,4.279240788,3.893247868,5.78010786,0.002051231,0.002237349,0.004072046,0.006733394,0.012972093,0.032653151,0.072063313,0.10210726,0.134482178,0.224340904,0.356465245,0.650508639,1.264403985,1.366810535,1.650843125,1.796076606,4.097216375,,,,,,,,,,,,,,,,,,,,
Eswatini,2.4,Unmitigated,0,1160.164,993.0180444,2.909102689,18.49275499,3.857342686,143.677,142.943,147.779,129.239,112.817,100.07,82.554,78.775,60.204,44.195,29.594,22.123,19.639,16.883,13.551,9.034,7.087,105.4801878,124.4748033,135.3545127,115.9457281,94.59933592,81.51057591,71.27718176,69.25598146,52.4868911,37.03742996,25.78854671,20.23801545,18.10375498,15.57609218,12.36723862,7.577424141,5.944344132,0.002973771,0.002990445,0.006005125,0.010518133,0.019160433,0.031774371,0.043837391,0.064910099,0.068464373,0.080466076,0.116366175,0.165204195,0.310483688,0.421927428,0.525786286,0.465643443,0.572591255,0.078497512,0.078937688,0.158514888,0.277642829,0.50576939,0.838734452,1.15715682,1.617069615,1.519213275,1.429905614,1.488898624,1.465680287,1.839386005,1.822088367,1.806841986,1.338435691,1.069981944,0.003950005,0.003964492,0.007961099,0.013944045,0.02540122,0.042123702,0.058115886,0.086073424,0.09068788,0.106675091,0.154268365,0.219013635,0.411612887,0.559355758,0.697042054,0.617310892,0.759842251,,,,,,,,,,,,,,,,,,,,
Ethiopia,2.4,Unmitigated,0,114963.583,97701.71226,265.4288827,1736.904862,351.9248389,16791.484,15246.064,13853.199,12975.795,11746.856,9692.189,7518.893,6273.985,4933.945,4104.708,3228.746,2475.32,2056.264,1568.29,1188.435,740.933,568.477,11870.47655,13131.13661,12769.76281,11608.7218,9766.591332,7919.258618,6561.971955,5661.30676,4394.244976,3467.58473,2764.186283,2222.922661,1879.104079,1456.158728,1099.623001,638.6559275,490.0054467,0.334660784,0.315468991,0.56654202,1.053096807,1.978154708,3.087077475,4.035789925,5.306054099,5.731892695,7.53353935,12.47289305,18.14585773,32.2270803,39.44463732,46.74986159,39.24631108,47.19996478,8.833913685,8.327320377,14.95478416,27.79816396,52.21646526,81.48826047,106.5310161,132.1868083,127.1897642,133.8731893,159.5899606,160.988805,190.9215933,170.3411772,160.6538912,112.8087688,88.20098041,0.443291032,0.418223486,0.751074745,1.396105898,2.622464834,4.092581104,5.350303834,7.034319819,7.60635693,10.00667323,16.53549908,24.05623213,42.72392368,52.29232655,61.97698977,52.02940449,62.58906827,,,,,,,,,,,,,,,,,,,,
Fiji,2.4,Unmitigated,0,896.444,728.0407303,3.175758777,20.73832723,4.210068431,89.39,87.75,82.927,75.208,71.883,70.062,66.837,68.117,57.042,49.481,47.401,44.036,34.16,22.959,15.417,8.216,5.558,35.45622263,66.67310731,73.57806574,68.24339867,59.79636177,58.62507673,60.4007059,61.07190998,51.06724917,45.22475041,40.5363158,38.54095468,25.79095917,18.96930106,12.1718401,7.09491098,4.799600198,0.000999607,0.001601788,0.003264357,0.006190768,0.012111335,0.022853169,0.037148065,0.057239587,0.066612579,0.098253529,0.182912829,0.314612241,0.442321062,0.513843159,0.517479026,0.435992326,0.462323351,0.026386237,0.042281818,0.086167935,0.163415165,0.319697481,0.603245298,0.980581542,1.425978347,1.478122275,1.745993838,2.340359288,2.791218223,2.620424845,2.21902531,1.778294445,1.253207146,0.863928036,0.0013265,0.002127635,0.004327615,0.008207193,0.01605615,0.030296735,0.049247763,0.07588335,0.088330966,0.130146627,0.242490249,0.417086101,0.586391603,0.681209574,0.686029989,0.578000994,0.612909385,,,,,,,,,,,,,,,,,,,,
Finland,2.4,Unmitigated,0,5540.718,4157.497139,36.22951538,178.8836191,48.03431041,264.132,304.547,310.362,296.298,313.253,359.1,347.432,359.148,345.452,314.108,351.007,369.548,356.648,355.677,357.602,225.386,311.018,209.5009421,268.1691695,293.7638546,257.3092619,258.5554901,305.2782577,298.2369195,320.0893885,309.8938247,273.738971,305.1412363,280.016888,233.7729251,183.9279164,192.4899544,70.42719579,97.18494307,0.005906397,0.00644263,0.013033098,0.023342067,0.052368605,0.119003265,0.183423758,0.300003459,0.404228294,0.594714613,1.376894903,2.285795498,4.00926107,4.982265885,8.18360358,4.327850906,9.361377349,0.155908925,0.17006377,0.344029494,0.616150957,1.382350639,3.141278165,4.841758287,7.473821227,8.969759925,10.56825195,17.61729235,20.27942087,23.7519038,21.51585345,28.12260217,12.43988336,17.49328975,0.007832112,0.008533938,0.017278207,0.030944922,0.069425717,0.157764198,0.243167821,0.39771868,0.53589175,0.789200593,1.828905923,3.030312848,5.31513725,6.605064446,10.84912156,5.737496758,12.41051368,,,,,,,,,,,,,,,,,,,,
France,2.4,Unmitigated,0,65273.512,53899.24061,621.2557329,2618.267131,823.591949,3619.987,3907.487,3995.688,3887.789,3697.019,3674.01,3941.533,4069.517,3943.397,4382.27,4363.401,4271.656,3973.248,3791.538,3523.616,2204.088,4027.268,2708.648012,3286.005992,3666.776748,3573.475484,3231.477248,3239.438213,3501.625895,3633.890722,3606.471473,3953.411829,3795.982163,3662.99962,3204.110341,2665.317252,2230.76795,1393.204569,2545.637097,0.076364101,0.078944651,0.162679851,0.324171402,0.654513096,1.262794565,2.153594469,3.405860445,4.704313847,8.589028357,17.12868623,29.90129667,54.95125172,72.19849753,94.83986133,85.61439355,245.2094811,2.015754181,2.083873276,4.294195251,8.557019379,17.27688952,33.33344668,56.84750976,84.84832859,104.3879571,152.6295365,219.1605708,265.282253,325.5454863,311.7883164,325.9131095,246.088207,458.2146775,0.101236963,0.104761822,0.216085315,0.4297588,0.867696273,1.674103385,2.85505242,4.51520007,6.236575956,11.38940181,22.68865399,39.64059097,72.8496943,95.71461854,125.7306235,113.5003358,325.0775592,,,,,,,,,,,,,,,,,,,,
French Guiana,2.4,Unmitigated,0,298.682,235.1817546,0.860228257,5.491327277,1.140645358,35.621,30.5,28.955,28.598,25.329,20.78,18.573,20.146,19.499,17.491,14.918,11.793,9.853,7.373,4.377,2.845,2.031,25.84260236,27.75667716,27.21647875,25.78944443,18.27748625,15.62027782,13.92275408,16.3963778,13.89745731,12.8955872,11.10018517,7.801889328,6.94134128,5.046942939,3.028944397,2.128095169,1.519213107,0.000728573,0.00066684,0.001207484,0.002339515,0.003701977,0.006089081,0.00856287,0.015367489,0.018127968,0.02801645,0.050087588,0.063687314,0.119045648,0.136712317,0.12877389,0.130774462,0.146338792,0.019231858,0.017602341,0.031873463,0.061755223,0.097719429,0.160730862,0.226030399,0.382841796,0.402256662,0.497860477,0.640867848,0.565029482,0.705257336,0.590390446,0.442525941,0.375895354,0.273458359,0.000965877,0.000884261,0.001599436,0.00310153,0.004907757,0.008072374,0.01135193,0.020372919,0.024032491,0.037141856,0.06646742,0.084594767,0.15782059,0.181241556,0.170717471,0.173369599,0.194003525,,,,,,,,,,,,,,,,,,,,
French Polynesia,2.4,Unmitigated,0,280.904,230.4304799,1.388205117,8.005771362,1.840263556,20.092,19.542,22.79,21.344,21.458,18.922,22.667,20.7,18.914,20.674,18.952,16.697,12.68,10.362,5.881,4.942,4.287,8.334712845,15.33256612,20.33238102,19.41316495,17.99101693,16.30043941,20.31827877,18.697214,16.85867355,18.24020168,15.65078774,14.22841967,9.374770278,8.031843249,4.590362245,3.606844709,3.128802766,0.000234978,0.000368357,0.000902064,0.001761085,0.003643955,0.006354221,0.01249629,0.017523945,0.021990606,0.039627951,0.070621363,0.116147486,0.160779532,0.217567727,0.195156703,0.221645715,0.30138314,0.006202627,0.009723392,0.023811434,0.046486629,0.096187839,0.167729647,0.32985921,0.43656441,0.48796795,0.704200232,0.903596337,1.03045253,0.952499703,0.939563529,0.670647627,0.637093767,0.563184498,0.000311513,0.000488339,0.001197064,0.002339218,0.004830836,0.008423874,0.016566524,0.023231747,0.029153269,0.052535356,0.093646788,0.15384893,0.213147822,0.288432774,0.258722131,0.293839049,0.39954832,,,,,,,,,,,,,,,,,,,,
Gabon,2.4,Unmitigated,0,2225.728,1879.500895,5.335661192,36.9308134,7.075699327,320.376,279.63,229.39,193.38,179.407,188.006,188.812,161.254,128.844,103.32,78.748,55.404,40.613,30.69,22.07,14.623,11.161,226.0046086,240.8098848,213.5895567,177.8983739,153.9960648,153.1670805,158.4686045,140.1515431,110.4598029,83.60058581,64.77244836,48.64508096,36.99339632,28.41359278,20.46839504,12.51205469,9.549821676,0.00637168,0.005785337,0.009476093,0.016138229,0.031190825,0.059707438,0.09746247,0.131356894,0.144084761,0.181627372,0.292274014,0.39709286,0.634445514,0.769671493,0.870202455,0.768883478,0.919890278,0.168190822,0.152713441,0.250136652,0.425994201,0.823330259,1.576071644,2.572675041,3.272422066,3.197217351,3.227571328,3.739629469,3.52298062,3.758619996,3.323816799,2.990413357,2.210062451,1.718967902,0.00844702,0.007669734,0.012565709,0.021376692,0.041350069,0.079154932,0.12920749,0.1741418,0.191015375,0.240785925,0.387472272,0.526951657,0.842723165,1.020364938,1.153640343,1.01932035,1.219511856,,,,,,,,,,,,,,,,,,,,
Gambia,2.4,Unmitigated,0,2416.664,2030.107471,4.317643419,31.79668911,5.723601451,409.506,352.804,299.82,257.037,228.183,200.996,160.385,122.746,97.721,76.346,65.53,50.381,34.036,25.245,19.007,11.001,5.92,278.4997249,298.7724131,274.8535216,230.5876444,190.7297466,163.537292,138.9641288,111.2037525,87.1980667,65.29674647,56.00343442,45.14978217,31.84967757,23.99164787,18.00690041,10.05309213,5.409899591,0.007851659,0.007177858,0.012194124,0.020917989,0.038630975,0.063749944,0.085466691,0.104225606,0.113741943,0.141861165,0.252705417,0.368560516,0.546229519,0.649889212,0.765553377,0.617776747,0.521110677,0.207257267,0.189471306,0.321883433,0.552163559,1.019724574,1.682779928,2.256027601,2.59651521,2.523915167,2.520914233,3.23335151,3.26984362,3.236005528,2.806538506,2.630791296,1.77572445,0.973781926,0.010409052,0.00951582,0.016165977,0.027758668,0.051312776,0.084514134,0.113304508,0.138173445,0.150789312,0.188067496,0.335015222,0.488726163,0.723535544,0.861567798,1.014905497,0.818995806,0.690844232,,,,,,,,,,,,,,,,,,,,
Georgia,2.4,Unmitigated,0,3989.175,3069.933502,22.2522025,114.8037772,29.51086803,268.345,284.818,253.462,217.595,233.413,267.285,289.585,275.491,263.948,253.998,245.82,277.803,249.13,210.728,150.386,98.4,148.968,205.6793842,266.7542609,232.8889284,194.4865925,185.0645783,194.5787206,255.6045382,247.6134576,232.7398922,211.7240922,190.2116708,187.5317935,164.1201601,102.6780791,84.78674387,45.13723681,68.33337289,0.005798657,0.006408638,0.010332327,0.017643046,0.037483535,0.075850482,0.157203692,0.232075466,0.30358801,0.459983506,0.858295926,1.530833845,2.814699643,2.781358592,3.604661359,2.773747116,6.582238657,0.153064952,0.169166483,0.27273832,0.465716233,0.989436109,2.002192658,4.149638458,5.781568469,6.736568437,8.174040921,10.9818478,13.58145286,16.67501168,12.01126259,12.38726392,7.972800206,12.30000712,0.007687353,0.008496058,0.013697744,0.023395392,0.049650598,0.100555976,0.208407353,0.307665883,0.402471102,0.609807384,1.137854591,2.029450509,3.735173637,3.694431131,4.778753083,3.677197932,8.7261723,,,,,,,,,,,,,,,,,,,,
Germany,2.4,Unmitigated,0,83783.945,66105.8171,722.4054636,3234.025905,957.6295221,4058.679,3822.225,3811.645,4118.971,4553.436,4823.925,5441.865,5430.155,5059.667,5183.684,6681.221,6807.172,5820.703,4823.439,3833.823,3637.591,5875.744,3306.241047,3196.493988,3419.82351,3898.250661,4078.550337,4351.151802,4800.214317,4818.627668,4615.465244,4581.370363,5479.244743,5168.83045,4210.707024,3412.435548,2409.273015,1666.792867,2692.344519,0.093211862,0.07679417,0.151723548,0.353633707,0.826081821,1.696161644,2.952261411,4.516253963,6.020454403,9.953306577,24.72410564,42.1934886,72.2146234,92.43654551,102.4289051,102.4267819,259.3411304,2.460478137,2.027107807,4.004986091,9.334723745,21.80571243,44.77285166,77.92957855,112.5109518,133.5929014,176.873158,316.3435323,374.3377367,427.8181836,399.1860757,351.9925325,294.4133814,484.6220133,0.1235722,0.101807604,0.201142396,0.468817753,1.096228394,2.252979502,3.913858292,5.987265086,7.981405073,13.1952446,32.77711528,55.93651552,95.75952275,122.4414324,135.7915216,135.7887121,343.8123816,,,,,,,,,,,,,,,,,,,,
Ghana,2.4,Unmitigated,0,31072.945,26449.30869,69.81544491,508.887495,92.59903046,4169.436,3888.435,3479.871,3136.85,2860.336,2538.255,2266.062,1924.356,1625.913,1405.337,1189.26,945.719,667.312,423.755,298.344,158.446,95.258,3004.696678,3369.406133,3225.667842,2844.856998,2416.458791,2087.952478,1949.901267,1712.202462,1416.185507,1146.724466,969.6245108,807.6856821,595.9101178,394.0631471,278.7086798,143.1824177,86.08150879,0.084710512,0.080948298,0.143109657,0.258074047,0.489436813,0.813923547,1.199241926,1.604760045,1.847285122,2.491328853,4.375256072,6.593189107,10.21999975,10.67443927,11.84914484,8.798762312,8.291834734,2.23607123,2.13676281,3.77760864,6.812274654,12.91944469,21.48479088,31.6558749,39.97850465,40.99095561,44.27163962,55.9811538,58.49432151,60.54593272,46.09743366,40.71907725,25.2909768,15.49467158,0.112301845,0.107314727,0.189723005,0.342132469,0.649011957,1.07812153,1.589853456,2.12745426,2.448972833,3.30279249,5.800344838,8.740680238,13.54881575,14.16523546,15.7390166,11.66465018,10.99260882,,,,,,,,,,,,,,,,,,,,
Greece,2.4,Unmitigated,0,10423.056,7616.201543,76.79832276,346.6073047,101.8029734,409.459,471.668,542.237,526.618,529.416,527.8,597.812,738.703,780.463,793.946,796.343,709.351,676.528,580.634,549.464,406.619,785.995,340.7771566,448.3296627,500.9332203,469.6885216,432.6665478,407.5107255,536.3768584,653.6285142,668.8094457,636.1364986,580.3914975,477.9928186,435.8763638,275.3064986,278.1557399,161.480152,312.1413216,0.009607428,0.010770896,0.022224353,0.042608264,0.087633581,0.158855423,0.32988625,0.612612671,0.87240106,1.382045348,2.618912162,3.901885491,7.475382943,7.457542078,11.8256369,9.923183994,30.06713391,0.253603634,0.284315429,0.586647403,1.124712846,2.31322444,4.193238501,8.707865891,15.26168264,19.35843726,24.55934852,33.50883288,34.61726043,44.28610995,32.205303,40.63829324,28.52299077,56.18543788,0.012736693,0.014279191,0.029463232,0.056486352,0.116177025,0.210804649,0.438182437,0.812149715,1.156554873,1.832198481,3.471929621,5.172787565,9.910223787,9.889003354,15.66423643,13.15531288,39.8604471,,,,,,,,,,,,,,,,,,,,
Grenada,2.4,Unmitigated,0,112.519,83.33568606,0.478103356,2.545384912,0.634099199,9.012,9.119,8.623,7.514,8.699,9.59,9.345,8.865,6.561,6.31,5.917,6.228,5.718,3.858,2.793,1.995,2.372,7.08044137,8.282539906,8.076039608,6.839429537,6.212686071,6.646335287,6.277044912,6.728592397,4.673272462,4.534975536,4.20521476,3.720153017,3.512334793,2.368381854,1.659975756,1.150434224,1.367834576,0.000199617,0.000198984,0.000358301,0.000620446,0.001258336,0.002590868,0.003860552,0.006306366,0.006095859,0.009852511,0.018975275,0.030367843,0.060237374,0.064155069,0.070572948,0.070695812,0.131757196,0.005269208,0.005252505,0.009457923,0.01637765,0.033215735,0.068390026,0.101905338,0.157107041,0.13526611,0.175081991,0.242787565,0.269421424,0.356861848,0.277052869,0.242520904,0.203206551,0.246210224,0.000264634,0.000263797,0.000475005,0.000822533,0.001668192,0.003435591,0.005113689,0.008360444,0.008081369,0.013061621,0.025155806,0.04025912,0.079857511,0.085051391,0.093651983,0.093904042,0.174672473,,,,,,,,,,,,,,,,,,,,
Guadeloupe,2.4,Unmitigated,0,400.127,286.5038191,2.807971361,12.25985897,3.722294057,22.897,22.097,28.714,29.799,28.16,18.718,16.279,17.481,21.521,27.786,30.74,31.462,27.039,23.53,19.38,13.562,20.962,19.46658923,20.59651046,27.01117742,27.00827282,20.57109159,15.03789602,12.96350035,15.21717384,15.5691471,19.24141121,20.07176067,17.73028977,15.6465582,13.02215681,10.15495599,6.75480923,10.44051844,0.000548816,0.000494821,0.001198375,0.002450082,0.004166531,0.005862058,0.007972903,0.014262281,0.020308536,0.04180314,0.090570207,0.144733472,0.268342181,0.352746059,0.431732318,0.415092592,1.00568699,0.01448688,0.013061607,0.031633033,0.064673821,0.109982045,0.154738221,0.210457295,0.355308364,0.450643093,0.742853971,1.158840674,1.284065439,1.589728772,1.523329481,1.483629565,1.193133391,1.879293319,0.000727572,0.000655993,0.001588708,0.003248112,0.005523617,0.007771411,0.010580236,0.018944344,0.026923323,0.055419054,0.120070275,0.191875244,0.35574525,0.467640565,0.572494562,0.549831585,1.333254206,,,,,,,,,,,,,,,,,,,,
Guam,2.4,Unmitigated,0,168.783,134.7281735,0.883093961,4.717414503,1.171474144,13.545,13.435,13.29,13.871,13.827,13.204,11.718,10.117,9.66,10.276,10.225,9.939,7.891,6.44,4.953,2.828,3.564,5.366919441,10.19892777,11.79589729,12.44767907,11.34641062,10.9104082,10.55061569,9.291947489,8.699035443,9.170745424,8.434403671,8.324007401,5.629678537,4.841108556,3.392759982,1.914664359,2.41296456,0.000151308,0.000245024,0.000523336,0.001129204,0.002298136,0.004253084,0.006488914,0.008708868,0.0113471,0.019924004,0.038058728,0.067949397,0.096550321,0.131136646,0.144241308,0.117658836,0.232429747,0.003994019,0.006467813,0.013814281,0.029807125,0.06066287,0.112266846,0.171285068,0.216959252,0.251790301,0.354055354,0.486959275,0.602842388,0.571989177,0.566311978,0.495679058,0.338196077,0.434333621,0.000200591,0.000324833,0.000693796,0.001497001,0.003046669,0.005638368,0.008604565,0.011535766,0.015043017,0.026413553,0.050455019,0.090081526,0.127998267,0.173849642,0.191222981,0.156136084,0.308732465,,,,,,,,,,,,,,,,,,,,
Guatemala,2.4,Unmitigated,0,17915.567,14396.87325,48.66054799,291.0122164,64.50119606,2065.382,1982.085,1926.021,1945.584,1802.495,1610.664,1354.136,1177.928,956.404,745.589,583.906,469.911,392.152,326.7,221.43,161.077,194.103,1529.946366,1807.312928,1812.764862,1752.884599,1265.841349,1151.089321,977.8771885,975.6237914,732.6619583,599.7283543,485.93262,342.6523234,309.1285874,243.7170487,158.5476396,113.9050478,137.2592704,0.043133319,0.043419789,0.080424945,0.159014679,0.256387304,0.448716488,0.601420874,0.914402423,0.955690852,1.302946433,2.19268348,2.797092503,5.301628537,6.60184251,6.740564903,6.999626477,13.22155247,1.138573846,1.14613641,2.122945245,4.197445191,6.767741024,11.84457674,15.87544892,22.78000479,21.20662417,23.15373776,28.05526102,24.81561282,31.40822432,28.50997502,23.16366174,20.11957871,24.70666867,0.057182408,0.057562475,0.106620761,0.21080812,0.339896055,0.594868773,0.797313468,1.213433807,1.269427615,1.727335718,2.90687304,3.708147122,7.028445848,8.752161332,8.936064507,9.281788847,17.51326616,,,,,,,,,,,,,,,,,,,,
Guinea,2.4,Unmitigated,0,13132.792,11110.31126,25.85807978,180.6373605,34.28448321,2100.111,1865.513,1687.906,1511.548,1305.025,1060.714,828.439,642.427,500.181,398.258,332.921,281.603,230.427,177.722,105.836,65.414,38.747,1452.31914,1592.080337,1545.85724,1346.833484,1086.71234,870.5344817,724.8653372,586.095676,450.7206841,343.9339619,288.6943207,252.1780825,210.4050171,164.6391684,100.3545578,59.08771233,34.99971856,0.040944798,0.038248934,0.068583348,0.122179346,0.220105978,0.339350881,0.445811754,0.549317586,0.587924117,0.747217512,1.302681157,2.058545575,3.60849591,4.459769501,4.266518327,3.631023591,3.37136147,1.080804285,1.009643219,1.810367327,3.225118032,5.810039065,8.957699705,11.7679017,13.68484699,13.04594028,13.27827291,16.66773167,18.26327513,21.37766692,19.2594593,14.66170696,10.43693762,6.29994934,0.054386204,0.050707369,0.090922154,0.16197497,0.291797179,0.449881927,0.591019327,0.728417397,0.778764045,0.990597524,1.726983738,2.729044189,4.783837208,5.912385828,5.656181562,4.813705525,4.473877067,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,2.4,Unmitigated,0,1967.998,1665.984321,3.794925538,27.73408704,5.031579943,305.111,277.238,242.778,207.251,180.991,161.393,138.905,115.601,87.932,68.643,51.101,41.087,33.175,27.241,15.609,9.028,4.914,212.3668705,236.4520104,222.9762174,186.6299464,152.4034942,132.1415788,119.6888097,103.172948,77.78016049,58.04408742,44.17412371,36.95111626,30.46111947,25.16184155,14.81384206,8.266593497,4.499561414,0.005987195,0.005680641,0.009892541,0.016930322,0.030868261,0.051511298,0.07361185,0.096698742,0.101457141,0.126104321,0.199327782,0.30163429,0.522415418,0.681587587,0.629802274,0.507993876,0.433421999,0.158041726,0.149949826,0.261129455,0.446902763,0.81481568,1.35972165,1.943100428,2.409002599,2.251317422,2.240910521,2.550387688,2.67607873,3.094924611,2.943427544,2.164288459,1.460166882,0.809921054,0.007930628,0.007530939,0.013114715,0.022444777,0.040922447,0.068289237,0.09758827,0.128195051,0.134636022,0.167502242,0.264251794,0.399881043,0.692573955,0.903590529,0.834938282,0.673454857,0.574735155,,,,,,,,,,,,,,,,,,,,
Guyana,2.4,Unmitigated,0,786.559,615.6003598,2.743545518,15.83828554,3.637098789,73.864,73.764,70.499,74.852,77.395,67.911,44.034,49.075,45.3,45.225,42.774,36.563,30.245,21.111,15.024,7.916,11.007,57.2669839,67.54953443,66.60599737,67.66584352,54.25057329,48.51733656,33.93461398,40.6713581,33.55728065,33.59370901,31.32087617,23.39743696,20.54775794,14.22349575,9.773039699,5.323010086,7.401512383,0.001614511,0.001622844,0.002955035,0.006138375,0.010988074,0.01891298,0.020870704,0.03811919,0.043772419,0.072984382,0.141329816,0.190994752,0.352398918,0.385288101,0.415495359,0.327106507,0.712953552,0.042617631,0.042837618,0.078002883,0.162032155,0.290047272,0.499237814,0.55091502,0.949642414,0.971302837,1.296953735,1.808306996,1.694492338,2.087702713,1.663861888,1.427831952,0.940228045,1.332272229,0.002142491,0.002155604,0.003917541,0.008137734,0.014567029,0.025073176,0.027668615,0.050535162,0.058043993,0.096675115,0.187363033,0.253204568,0.467180481,0.510782208,0.550828657,0.433649573,0.945173808,,,,,,,,,,,,,,,,,,,,
Haiti,2.4,Unmitigated,0,11402.533,9132.705426,31.46196802,194.3615941,41.71462714,1262.943,1237.836,1202.069,1144.46,1065.198,979.259,905.799,825.857,627.216,479.271,423.749,365.875,292.954,230.978,150.812,109.403,98.854,946.1536362,1130.162814,1132.078913,1036.547351,759.7806485,707.4179998,645.833337,668.4938361,476.530984,384.1232541,341.8534416,254.956923,222.2747883,167.8648257,107.1637081,79.57071889,71.89824634,0.026674626,0.027151597,0.0502257,0.09403143,0.153888252,0.275764977,0.39720494,0.626545179,0.621591304,0.834531201,1.542552122,2.081229425,3.812065299,4.547146572,4.556005575,4.889733348,6.925626476,0.704119967,0.716710831,1.325787803,2.482109032,4.062119371,7.279249865,10.48484848,15.60877555,13.79300968,14.82986261,19.73686709,18.4645247,22.58366485,19.63679609,15.65651745,14.0549464,12.94168434,0.03537159,0.035965133,0.066585094,0.124658853,0.204011587,0.365585267,0.526580966,0.830619495,0.824053281,1.107442974,2.048945569,2.759116584,5.053711873,6.028220262,6.03996245,6.482392725,9.181403433,,,,,,,,,,,,,,,,,,,,
Honduras,2.4,Unmitigated,0,9904.608,7914.407933,27.41236398,168.2661577,36.33983212,1017.017,988.975,1023.648,1040.99,1014.731,890.687,783.566,687.371,579.933,467.803,381.155,298.856,237.302,182.776,122.731,82.58,104.487,776.9245437,907.1311626,964.2222893,939.8445973,711.0014085,636.3028546,558.834187,561.5871344,432.4010262,365.7737694,305.474047,211.8113193,183.3020362,136.4167852,88.63071607,59.48488836,75.26516747,0.021903601,0.021793373,0.04277859,0.085258942,0.144008358,0.248042942,0.343698114,0.52634698,0.56402779,0.794665826,1.378396652,1.729029144,3.143673364,3.695277523,3.768085704,3.65543062,7.24994646,0.57818103,0.575271741,1.129209401,2.250545294,3.801324238,6.547483199,9.072451727,13.11259291,12.51568469,14.12144328,17.63650714,15.33982796,18.62393744,15.95801016,12.94886466,10.50709267,13.54773015,0.029037912,0.028920432,0.056822188,0.113029035,0.190913699,0.328833795,0.455645734,0.697786054,0.747739685,1.053759287,1.8258239,2.292199493,4.167614685,4.898884196,4.995407608,4.846061339,9.611353073,,,,,,,,,,,,,,,,,,,,
